127.0.0.1, 2015-07-05 19:14:15, POST, /admin/default/enable/test1, HTTP/1.1, 200, 0.077654
127.0.0.1, 2015-07-05 19:14:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000506
127.0.0.1, 2015-07-05 19:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000976
127.0.0.1, 2015-07-05 19:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000712
127.0.0.1, 2015-07-05 19:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001223
127.0.0.1, 2015-07-05 19:14:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000562
127.0.0.1, 2015-07-05 19:14:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000879
127.0.0.1, 2015-07-05 19:14:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000456
127.0.0.1, 2015-07-05 19:14:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000780
127.0.0.1, 2015-07-05 19:14:19, GET, /admin/default/uninstall/test1, HTTP/1.1, 200, 0.091723
127.0.0.1, 2015-07-05 19:14:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2015-07-05 19:14:21, POST, /admin/default/uninstall/test1, HTTP/1.1, 303, 0.415668
127.0.0.1, 2015-07-05 19:14:21, GET, /admin/default/site, HTTP/1.1, 200, 0.107734
127.0.0.1, 2015-07-05 19:14:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2015-07-05 19:15:37, POST, /admin/default/site, HTTP/1.1, 303, 0.207212
127.0.0.1, 2015-07-05 19:15:38, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.444074
127.0.0.1, 2015-07-05 19:15:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000683
127.0.0.1, 2015-07-05 19:15:45, GET, /admin/default/peek/app1/models/db.py, HTTP/1.1, 200, 0.101655
127.0.0.1, 2015-07-05 19:15:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000535
127.0.0.1, 2015-07-05 19:15:59, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.233409
127.0.0.1, 2015-07-05 19:16:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000472
127.0.0.1, 2015-07-05 19:16:05, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.106298
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.011541
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.008988
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.006807
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002986
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.019954
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002601
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001363
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002607
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004737
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003261
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001306
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001223
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000971
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001071
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002270
